key,enValue,enValid,frValue,frValid
teleport.title,Panel Teleport,1,Téléportation du panneau,1
teleport.description,Determines where to render the panel instead of its usual spot in the panel stack.,1,Détermine où rendre le panneau au lieu de son emplacement habituel dans la pile de panneaux.,1
teleport.target.title,Target,1,Cible,1
teleport.target.description,The target container where the panel will be rendered. Must be a string query selector.,1,Le conteneur cible dans lequel le panneau sera rendu. Il doit s'agir d'un sélecteur de requête sous forme de chaîne.,1
teleport.showHeader.title,Show Header,1,Afficher l'en-tête,1
teleport.showHeader.description,Whether to show the panel header or not,1,Afficher ou non l'en-tête du tableau de bord,1
teleport.showAppbarButton.title,Show Appbar Button,1,Afficher le bouton de la barre d'application,1
teleport.showAppbarButton.description,Whether to show the appbar button for the panel or not. Only applies to temporary appbar buttons.,1,Affiche ou non le bouton de la barre d'outils pour le panneau. Ne s'applique qu'aux boutons temporaires de la barre d'outils.,1
teleport.breakpoints.title,Breakpoints,1,Points d'arrêt,1
teleport.breakpoints.description,"An object of type className(string): minWidth(number) pairs. If you add duplicate class name(s), the latest entry will be used as the breakpoint. Only non-empty class names will be saved.",1,"Un objet de type className(string) : minWidth(number) paires. Si vous ajoutez des noms de classe en double, la dernière entrée sera utilisée comme point d'arrêt. Seuls les noms de classe non vides seront enregistrés.",1
teleport.breakpoints.add,Add breakpoint,1,Ajouter un point d'arrêt,1
teleport.breakpoints.remove,Remove breakpoint,1,Supprimer le point d'arrêt,1
teleport.breakpoint.className.title,Class Name,1,Nom de la classe,1
teleport.breakpoint.className.description,The class that will be applied as a CSS class when the container width is greater than or equal to the breakpoint minWidth.,1,La classe qui sera appliquée en tant que classe CSS lorsque la largeur du conteneur est supérieure ou égale au point de rupture minWidth.,1
teleport.breakpoint.minWidth.title,Minimum Width,1,Largeur minimale,1
teleport.breakpoint.minWidth.description,The minimum width (in pixels) where the breakpoint will be applied.,1,Largeur minimale (en pixels) à laquelle le point d'arrêt sera appliqué.,1
panelWidth.title,Panel Width,1,Largeur du panneau,1
panelWidth.description,Determines the width of the panel in pixels,1,Détermine la largeur du panneau en pixels,1
appbar.title,Appbar,1,Appbar,1
appbar.description,"Provides configuration to the appbar. If not supplied, default appbar controls (legend, geosearch, basemap) are displayed.",1,"Permet de configurer l'appbar. Si elle n'est pas fournie, les contrôles par défaut de l'appbar (légende, geosearch, basemap) sont affichés.",1
appbar.groups.title,Groups,1,Groupes,1
appbar.groups.description,The groups that the appbar items will be split up over,1,Les groupes dans lesquels les éléments de la barre d'outils seront répartis,1
appbar.groups.add,Add group,1,Ajouter un groupe,1
appbar.groups.remove,Remove group,1,Supprimer le groupe,1
appbar.groups.singular,Group,1,Groupe,1
appbar.group.items.title,Items,1,Articles,1
appbar.group.items.description,Provides configuration to the items of this group,1,Permet de configurer les éléments de ce groupe,1
appbar.group.items.add,Add item,1,Ajouter un article,1
appbar.group.items.remove,Remove item,1,Supprimer l'article,1
appbar.group.items.singular,Item,1,Article,1
appbar.group.item.type,Type,1,Type,1
appbar.group.item.type.panel,Linked to a panel,1,Lié à un panel,1
appbar.group.item.type.custom,Custom component,1,Composant personnalisé,1
appbar.group.item.type.warning,Warning! Changing the item type will result in loss of current item config.,1,Attention! Le changement de type d'article entraîne la perte de la configuration actuelle de l'article.,1
appbar.group.item.panelId.title,Panel ID,1,ID du panneau,1
appbar.group.item.panelId.description,The ID of the panel that the appbar button will be linked to,1,L'ID du panneau auquel le bouton de la barre d'outils sera lié.,1
appbar.group.item.id.title,ID,1,Identifiant,1
appbar.group.item.id.description,The ID of the custom component,1,L'ID du composant personnalisé,1
appbar.group.item.componentId.title,Component Name,1,Nom du composant,1
appbar.group.item.componentId.description,The name of the Vue component to render as the appbar button,1,Le nom du composant Vue à rendre en tant que bouton de la barre d'application,1
aoi.title,Areas Of Interest,1,Domaines d'intérêt,1
aoi.description,Provides configuration to the areas of interest fixture,1,Permet de configurer la fixation des domaines d'intérêt,1
aoi.areas.title,Areas,1,Zones,1
aoi.areas.description,The areas to be displayed in the areas of interest fixture,1,Les zones à afficher dans la fixation des zones d'intérêt,1
aoi.areas.add,Add area,1,Ajouter une zone,1
aoi.areas.remove,Remove area,1,Supprimer la zone,1
aoi.areas.singular,Area,1,Zone,1
aoi.area.title.title,Title,1,Titre,1
aoi.area.title.description,The title for this area of interest,1,Le titre de ce domaine d'intérêt,1
aoi.area.thumbnail.title,Thumbnail,1,Vignette,1
aoi.area.thumbnail.description,The URL or base64 for the image to be used as the thumbnail graphic for this area of interest,1,L'URL ou base64 de l'image à utiliser comme vignette pour cette zone d'intérêt.,1
aoi.area.altText.title,Alt Text,1,Texte alternatif,1
aoi.area.altText.description,The alt text for the thumbnail,1,Le texte alt de la vignette,1
aoi.area.description.title,Description,1,Description,1
aoi.area.description.description,The description blurb for this area of interest,1,La description de ce domaine d'intérêt,1
aoi.area.extent.description,The map extent for this area of interest,1,L'étendue de la carte pour cette zone d'intérêt,1
basemap.title,Basemap,1,Carte de base,1
basemap.description,Provides configuration to the basemap fixture,1,Fournit la configuration de la fixation de la carte de base,1
details.title,Details,1,Détails,1
details.description,"Provides default template configuration to the details fixture. If not supplied, RAMP default templates wil be used.",1,"Fournit la configuration du modèle par défaut au projecteur de détails. S'il n'est pas fourni, les modèles par défaut de RAMP seront utilisés.",1
details.templates.title,Templates,1,Modèles,1
details.templates.description,Specifies a Vue component name to render as the default details template for each identify result format,1,Spécifie un nom de composant Vue à rendre comme modèle de détails par défaut pour chaque format de résultat d'identification.,1
details.templates.esri,ESRI,1,ESRI,1
details.templates.text,Text,1,Texte,1
details.templates.image,Image,1,Image,1
details.templates.html,HTML,1,HTML,1
details.templates.xml,XML,1,XML,1
details.templates.json,JSON,1,JSON,1
export.title,Export,1,Exporter,1
export.description,Provides configuration to the export fixture,1,Fournit la configuration de l'appareil d'exportation,1
export.fileName.title,File Name,1,Nom du fichier,1
export.fileName.description,The file name of the exported image,1,Le nom du fichier de l'image exportée,1
export.title.title,Title,1,Titre,1
export.title.description,Configuration for the title,1,Configuration du titre,1
export.title.value.title,Value,1,Valeur,1
export.title.value.description,The value of the title text,1,La valeur du texte du titre,1
export.map.title,Map,1,Carte,1
export.map.description,Configuration for the map,1,Configuration de la carte,1
export.mapElements.title,Map Elements,1,Éléments de la carte,1
export.mapElements.description,Configuration for the map elements,1,Configuration des éléments de la carte,1
export.legend.title,Legend,1,Légende,1
export.legend.description,Configuration for the legend,1,Configuration de la légende,1
export.legend.columnWidth.title,Column Width,1,Largeur de la colonne,1
export.legend.columnWidth.description,Value in pixels to be used as the column width for the exported legend,1,Valeur en pixels à utiliser comme largeur de colonne pour la légende exportée.,1
export.footnote.title,Footnote,1,,0
export.footnote.description,Configuration for the footnote,1,Configuration pour la note de bas de page,1
export.footnote.value.title,Value,1,Valeur,1
export.footnote.value.description,The value of the footnote text,1,Valeur du texte de la note de bas de page,1
export.timestamp.title,Timestamp,1,,0
export.timestamp.description,Configuration for the timestamp,1,Configuration de l'horodatage,1
export.selected.title,Selected,1,Sélectionné,1
export.selected.description,Indicates if this component is selected on startup,1,Indique si ce composant est sélectionné au démarrage,1
export.selectable.title,Selectable,1,Sélectionnable,1
export.selectable.description,Indicates if this component is selectable,1,Indique si ce composant est sélectionnable,1
geosearch.title,Geosearch,1,,0
geosearch.description,Provides configuration to the geosearch fixture,1,Fournit la configuration de l'appareil geosearch,1
geosearch.serviceUrls.title,Service URLs,1,URL des services,1
