key,enValue,enValid,frValue,frValid
layers.title,Layers,1,Couches,1
layers.autopopulateLegend.title,Autopopulate Legend,1,Légende de l'autopopulation,1
layers.autopopulateLegend.description,Updates the legend by creating entries in the top root level for any layers that do not have one and removing entries for layers not present in the layers config.,1,Met à jour la légende en créant des entrées dans le niveau racine supérieur pour toutes les couches qui n'en ont pas et en supprimant les entrées pour les couches qui ne sont pas présentes dans la configuration des couches.,1
layers.updatedLegend.title,Updated Legend!,1,Légende mise à jour!,1
layers.idWarning,A unique ID must be specified for each layer for the legend to update correctly.,1,Un identifiant unique doit être spécifié pour chaque couche afin que la légende soit correctement mise à jour.,1
layers.add,Add layer,1,Ajouter une couche,1
layers.remove,Remove layer,1,Enlever la couche,1
layer.title,Layer {0},1,Couche {0},1
layer.type,Layer Type,1,Type de couche,1
layer.type.group.esri,ESRI ArcGIS Server,1,ESRI ArcGIS Server,1
layer.type.group.ogc,OGC Service,1,Service OGC,0
layer.type.group.file,File Source,1,Origine du ficher,0
layer.type.group.data,Non-Spatial,1,Non spatiale,0
layer.type.feature,Feature Layer,1,Couche d'entités,1
layer.type.mapImage,Map Image Layer,1,Couche d'image cartographique,1
layer.type.wfs,WFS (Web Feature Service),1,Couche WFS (Service d'entités géographiques Web),1
layer.type.wms,WMS (Web Map Service),1,Couche WMS (Service de cartes Web),1
layer.type.csv,CSV Layer,1,Couche CSV,1
layer.type.geojson,GeoJSON Layer,1,Couche GeoJSON,1
layer.type.shapefile,Shapefile Layer,1,Couche Shapefile,1
layer.type.geojsonzip,Zipped GeoJSON Layer,1,Couche GeoJSON zippé,0
layer.type.tile,Tile Layer,1,Couche de tuiles,1
layer.type.imagery,Image Service,1,Service d'images,1
layer.type.flatty,FlatGeobuf Layer,1,Couche FlatGeobuf,0
layer.type.flattyzip,Zipped FlatGeobuf Layer,1,Couche FlatGeobuf zippé,0
layer.type.datacsv,Non-Spatial CSV File Layer,1,Couche de fichier CSV non spatiale,1
layer.type.datatable,ESRI Table Layer,1,Couche de table ESRI,1
layer.type.datajson,Compact JSON File Layer,1,Couche de fichiers JSON compacte,1
layer.id.title,ID,1,Identifiant,1
layer.id.description,"ID of the layer. Should be unique for every layer. Updating this field will also automatically update the layer ID field for the legend entry associated with this layer, if it exists.",1,"ID de la couche. Il doit être unique pour chaque couche. La mise à jour de ce champ entraînera également la mise à jour automatique du champ d'identification de la couche pour l'entrée de la légende associée à cette couche, si elle existe.",1
layer.name.title,Name,1,Nom,1
layer.name.description,Display name of the layer. Can override the name coming from the service.,1,Nom d'affichage de la couche. Peut remplacer le nom provenant du service.,1
layer.url.title,URL,1,URL,1
layer.url.description,Service endpoint of the layer. Should match the layer type.,1,Point de terminaison du service de la couche. Doit correspondre au type de couche.,1
layer.nameField.title,Name Field,1,Champ du nom,1
layer.nameField.description,The display field of the layer. If it is not present the viewer will make an attempt to scrape this information.,1,"Le champ d'affichage de la couche. S'il n'est pas présent, le visualiseur tentera de récupérer cette information.",1
layer.tooltipField.title,Tooltip Field,1,Champ d'info-bulle,1
layer.tooltipField.description,"Field to be used for tooltips. If not present, the viewer will use name field, if provided.",1,"Champ à utiliser pour les infobulles. S'il n'est pas présent, le visualiseur utilisera le champ du nom, s'il est fourni.",1
layer.refreshInterval.title,Refresh Interval,1,Intervalle de rafraîchissement,1
layer.refreshInterval.description,Automatic refresh interval of the layer (minutes). Max is 100. Zero disables refresh. Currently not supported.,1,Intervalle de rafraîchissement automatique de la couche (minutes). Le maximum est de 100. Zéro désactive le rafraîchissement. Ce paramètre n'est pas pris en charge actuellement.,1
layer.expectedDrawTime.title,Expected Draw Time,1,Temps de tirage prévu,1
layer.expectedDrawTime.description,The time (in milliseconds) after which a 'slow-to-draw' notification is shown. Zero disables notifications.,1,Le temps (en millisecondes) après lequel une notification "lent à dessiner" est affichée. Zéro désactive les notifications.,1
layer.expectedLoadTime.title,Expected Load Time,1,Temps de chargement prévu,1
layer.expectedLoadTime.description,The time (in milliseconds) after which a 'slow-to-load' notification is shown. Zero disables notifications.,1,Le temps (en millisecondes) après lequel une notification "slow-to-load" est affichée. Zéro désactive les notifications.,1
layer.maxLoadTime.title,Max Load Time,1,Temps de chargement maximum,1
layer.maxLoadTime.description,The time (in milliseconds) a layer can load for before entering the error state. Zero allows perpetual loading.,1,Temps (en millisecondes) pendant lequel une couche peut être chargée avant d'entrer dans l'état d'erreur. Un zéro permet un chargement perpétuel.,1
layer.catalogueUrl.title,Catalogue URL,1,URL du catalogue,1
layer.catalogueUrl.description,Catalogue URL of the layer service. Currently not supported.,1,URL du catalogue du service de couche. Ce service n'est actuellement pas pris en charge.,1
layer.colour.title,Colour,1,Couleur,1
layer.colour.description,The hex code representing the layer symbology colour,1,Code hexagonal représentant la couleur de la symbologie de la couche,1
layer.latField.title,Lat Field,1,Champ Lat,1
layer.latField.description,The latitude field of the layer,1,Le champ de latitude de la couche,1
layer.longField.title,Long Field,1,Champ long,1
layer.longField.description,The longitude field of the layer,1,Le champ de longitude de la couche,1
layer.mouseTolerance.title,Mouse Tolerance,1,Tolérance de la souris,1
layer.mouseTolerance.description,Tolerance in pixels when determining if a feature was clicked,1,Tolérance en pixels pour déterminer si un élément a été cliqué,1
layer.touchTolerance.title,Touch Tolerance,1,Tolérance tactile,1
